coordinates
"[0.0, 0.0, 'B']"
"[0.0, 0.12, 'B']"
"[0.0, 0.24, 'B']"
"[0.0, 0.36, 'B']"
"[0.0, 0.48, 'B']"
"[0.0, 0.6, 'B']"
"[0.0, 0.72, 'B']"
"[0.0, 0.84, 'B']"
"[0.0, 0.96, 'B']"
"[0.12, 0.0, 'B']"
"[0.12, 0.12, 'B']"
"[0.12, 0.24, 'B']"
"[0.12, 0.36, 'B']"
"[0.12, 0.48, 'B']"
"[0.12, 0.6, 'B']"
"[0.12, 0.72, 'B']"
"[0.12, 0.84, 'B']"
"[0.12, 0.96, 'B']"
"[0.24, 0.0, 'B']"
"[0.24, 0.12, 'B']"
"[0.24, 0.24, 'B']"
"[0.24, 0.36, 'B']"
"[0.24, 0.48, 'B']"
"[0.24, 0.6, 'B']"
"[0.24, 0.72, 'B']"
"[0.24, 0.84, 'B']"
"[0.24, 0.96, 'B']"
"[0.36, 0.0, 'B']"
"[0.36, 0.12, 'B']"
"[0.36, 0.24, 'B']"
"[0.36, 0.36, 'A']"
"[0.36, 0.48, 'A']"
"[0.36, 0.6, 'A']"
"[0.36, 0.72, 'B']"
"[0.36, 0.84, 'B']"
"[0.36, 0.96, 'B']"
"[0.48, 0.0, 'B']"
"[0.48, 0.12, 'B']"
"[0.48, 0.24, 'B']"
"[0.48, 0.36, 'A']"
"[0.48, 0.48, 'A']"
"[0.48, 0.6, 'A']"
"[0.48, 0.72, 'A']"
"[0.48, 0.84, 'B']"
"[0.48, 0.96, 'B']"
"[0.6, 0.0, 'B']"
"[0.6, 0.12, 'B']"
"[0.6, 0.24, 'B']"
"[0.6, 0.36, 'A']"
"[0.6, 0.48, 'A']"
"[0.6, 0.6, 'A']"
"[0.6, 0.72, 'A']"
"[0.6, 0.84, 'B']"
"[0.6, 0.96, 'B']"
"[0.72, 0.0, 'B']"
"[0.72, 0.12, 'B']"
"[0.72, 0.24, 'B']"
"[0.72, 0.36, 'B']"
"[0.72, 0.48, 'A']"
"[0.72, 0.6, 'A']"
"[0.72, 0.72, 'B']"
"[0.72, 0.84, 'B']"
"[0.72, 0.96, 'B']"
"[0.84, 0.0, 'B']"
"[0.84, 0.12, 'B']"
"[0.84, 0.24, 'B']"
"[0.84, 0.36, 'B']"
"[0.84, 0.48, 'B']"
"[0.84, 0.6, 'B']"
"[0.84, 0.72, 'B']"
"[0.84, 0.84, 'B']"
"[0.84, 0.96, 'B']"
"[0.96, 0.0, 'B']"
"[0.96, 0.12, 'B']"
"[0.96, 0.24, 'B']"
"[0.96, 0.36, 'B']"
"[0.96, 0.48, 'B']"
"[0.96, 0.6, 'B']"
"[0.96, 0.72, 'B']"
"[0.96, 0.84, 'B']"
"[0.96, 0.96, 'B']"
